instruction,input,output
Interpret OBD-II code P1380,,Ignition Coil - Cylinder 2 - Early Activation Fault
Interpret OBD-II code P1381,,Ignition Coil - Cylinder 3 - Early Activation Fault
Interpret OBD-II code P1382,,Crankshaft Position (CKP)/Ignition Coil - Cylinder 4 - Early Activation Fault
Interpret OBD-II code P1383,,Ignition Coil - Cylinder 5 - Early Activation Fault
Interpret OBD-II code P1384,,Ignition Coil - Cylinder 6 - Early Activation Fault
Interpret OBD-II code P1385,,Misfire Detected - Rough Road Data Not Available
Interpret OBD-II code P1386,,Variable Cam Timing Overadvanced (Bank #1)/ Misfire Detected - No Communication with BCM
Interpret OBD-II code P1387,,Variable Cam Timing Solenoid #1 Circuit Malfunction
Interpret OBD-II code P1388,,Variable Cam Timing Overretarded (Bank #1)
Interpret OBD-II code P1389,,VVT Solenoid A Malfunction
Interpret OBD-II code P1390,,Variable Cam Timing Solenoid B Malfunction
Interpret OBD-II code P1391,,Variable Cam Timing Overadvanced (Bank #2)
Interpret OBD-II code P1392,,Variable Cam Timing Solenoid #2 Circuit Malfunction
Interpret OBD-II code P1393,,Variable Cam Timing Overretarded (Bank #2)
Interpret OBD-II code P1394,,Glow Plug Circuit High Side Low Input
Interpret OBD-II code P1395,,Octane Adjust Pin Out Of Self Test Range
Interpret OBD-II code P1396,,Glow Plug Circuit Low Input (Bank #1)
Interpret OBD-II code P1397,,Glow Plug Circuit High Input (Bank #1)
Interpret OBD-II code P1398,,Glow Plug Circuit Low Input (Bank #2)
Interpret OBD-II code P1399,,Glow Plug Circuit High Input (Bank #2)
Interpret OBD-II code P1400,,Glow Plug Monitor Fault (Bank #1)
Interpret OBD-II code P1401,,Glow Plug Monitor Fault (Bank #2)
Interpret OBD-II code P1402,,System Voltage Out Of Self Test Range
Interpret OBD-II code P1403,,VVT Solenoid B Circuit High Input
Interpret OBD-II code P1404,,Glow Plug Circuit High Side
Interpret OBD-II code P1405,,DPFE Circuit Low Input
Interpret OBD-II code P1406,,DPFE Circuit High Input
Interpret OBD-II code P1407,,EGR Metering Orifice Restricted
Interpret OBD-II code P1408,,DPFE Sensor Hoses Reversed
Interpret OBD-II code P1409,,IAT - B Circuit Malfunction/ Exhaust Gas Recirculation Closed Position Performance
Interpret OBD-II code P1411,,DPFE Sensor Upstream Hose Off Or Plugged
Interpret OBD-II code P1413,,Exhaust Gas Recirculation (EGR) Position Sensor Performance
Interpret OBD-II code P1414,,EGR No Flow Detected
Interpret OBD-II code P1415,,EGR Flow Out Of Self Test Range
Interpret OBD-II code P1416,,EVR Control Circuit Malfunction
Interpret OBD-II code P1417,,SAI System Incorrect Downstream Flow Detected
Interpret OBD-II code P1418,,SAI System Monitor Circuit Low Input
Interpret OBD-II code P1419,,SAI System Monitor Circuit High Input
Interpret OBD-II code P1420,,Air Pump Circuit Malfunction/ (AIR) System Bank 1
Interpret OBD-II code P1421,,Port Air Circuit Malfunction/ (AIR) System Bank 2
Interpret OBD-II code P1422,,Port Air Relief Circuit Malfunction
Interpret OBD-II code P1423,,Split Air #1 Circuit Malfunction
Interpret OBD-II code P1424,,Split Air #2 Circuit Malfunction
Interpret OBD-II code P1425,,Catalyst Temperature Sensor Failure
Interpret OBD-II code P1426,,Catalyst Damage
Interpret OBD-II code P1427,,EGI Temperature Sensor Failure
Interpret OBD-II code P1428,,EGI Functionality Test Failed
Interpret OBD-II code P1429,,EGI Glow Plug Primary Failure
Interpret OBD-II code P1430,,EGI Glow Plug Secondary Failure
Interpret OBD-II code P1433,,EGI Mini - MAF Failed Out Of Range
Interpret OBD-II code P1434,,EGI Mini - MAF Failed Short Circuit
Interpret OBD-II code P1435,,EGI Mini - MAF Failed Open Circuit
Interpret OBD-II code P1436,,Electric Air Pump Primary Failure
Interpret OBD-II code P1437,,Electric Air Pump Secondary Failure
Interpret OBD-II code P1438,,A/C Refrigerant Temperature Circuit Low
Interpret OBD-II code P1439,,A/C Refrigerant Temperature Circuit High
Interpret OBD-II code P1440,,A/C Refrigerant Temperature Circuit Range/Performance
Interpret OBD-II code P1441,,A/C Evaporator Air Temperature Circuit Low
Interpret OBD-II code P1442,,A/C Evaporator Air Temperature Circuit Range/Performance
Interpret OBD-II code P1443,,Floor Temperature Switch Circuit Malfunction
Interpret OBD-II code P1444,,Purge Valve Stuck Open
Interpret OBD-II code P1445,,Evaporative Emission (EVAP) System Flow During Non-Purge Chevrolet Only
Interpret OBD-II code P1446,,Evaporative Emission (EVAP) System Flow During Non-Purge Oldsmobile Only
Interpret OBD-II code P1447,,Evaporative Emission Control System Leak Detected
Interpret OBD-II code P1448,,Evaporative Emission Control System Control Valve
Interpret OBD-II code P1449,,Purge Flow Sensor Circuit Low Input
Interpret OBD-II code P1450,,Purge Flow Sensor Circuit High Input
Interpret OBD-II code P1451,,Evaporative Vac Solenoid Circuit Malfunction
Interpret OBD-II code P1452,,ELC System Closure Valve Flow Fault
Interpret OBD-II code P1453,,ELC System 2 Fault
Interpret OBD-II code P1454,,Evaporative Check Solenoid Circuit Malfunction
Interpret OBD-II code P1455,,Unable To Bleed Up Fuel Tank Vacuum
Interpret OBD-II code P1456,,Evap  Emission Control Sys Vent Control Valve Circuit
Interpret OBD-II code P1457,,Unable To Bleed - Up Vacuum in Tank
Interpret OBD-II code P1460,,Fuel Tank Pressure Relief Valve Malfunction
Interpret OBD-II code P1461,,Evaporative System Vacuum Test Malfunction
Interpret OBD-II code P1462,,Evap  Emission Control Sys  Leak Detected (Gross Leak/No Flow)
Interpret OBD-II code P1463,,Fuel Tank Temperature Sensor Circuit Malfunction
Interpret OBD-II code P1464,,Unable To Pull Vacuum In Tank
Interpret OBD-II code P1465,,Wide open throttle A/C cutoff relay circuit
Interpret OBD-II code P1466,,A/C pressure sensor circuit voltage low
Interpret OBD-II code P1467,,A/C pressure sensor circuit voltage high
Interpret OBD-II code P1468,,A/C Pressure Sensor Insufficient Pressure Change
Interpret OBD-II code P1469,,A/C Demand Out of Self Test Range
Interpret OBD-II code P1470,,A/C Relay Circuit Malfunction
Interpret OBD-II code P1471,,A/C Refrigerant Temperature Sensor/Circuit Malfunction
Interpret OBD-II code P1472,,A/C Compressor Temperature Sensor Malfunction
Interpret OBD-II code P1473,,SSPOD Open Circuit or Closed Circuit Fault
Interpret OBD-II code P1474,,Low A/C Cycling Period
Interpret OBD-II code P1475,,A/C Cycling Period Too Short
Interpret OBD-II code P1476,,Electrodrive Fan 1 Operational Failure (Driver Side)
Interpret OBD-II code P1477,,Electrodrive Fan 2 Operational Failure (Passenger Side)
Interpret OBD-II code P1478,,Fan Secondary High With Fan(s) Off
Interpret OBD-II code P1479,,Low Fan Control Primary Circuit Malfunction
Interpret OBD-II code P1480,,Fan Relay (Low) Circuit Malfunction
Interpret OBD-II code P1481,,Fan Relay (High) Circuit Malfunction
Interpret OBD-II code P1482,,Additional Fan Relay Circuit Malfunction
Interpret OBD-II code P1483,,Cooling Fan Driver Fault
Interpret OBD-II code P1484,,High Fan Control Primary Circuit Malfunction
Interpret OBD-II code P1485,,Fan Secondary Low with Low Fan On
Interpret OBD-II code P1486,,Fan Secondary Low With High Fan On
Interpret OBD-II code P1487,,SCP
Interpret OBD-II code P1490,,Power To Fan Circuit Overcurrent
Interpret OBD-II code P1491,,Open Power To Ground VCRM
Interpret OBD-II code P1492,,EGRV Circuit Malfunction
Interpret OBD-II code P1493,,EGRA Circuit Malfunction
Interpret OBD-II code P1494,,EGRCHK Solenoid Circuit Malfunction
Interpret OBD-II code P1495,,Secondary Air Relief Solenoid Circuit Malfunction
Interpret OBD-II code P1500,,Secondary Switch Solenoid Circuit Malfunction
Interpret OBD-II code P1501,,APLSOL Solenoid Circuit Malfunction
Interpret OBD-II code P1502,,RCNT Solenoid Circuit Malfunction
Interpret OBD-II code P1503,,SPCUT Solenoid Circuit Malfunction
Interpret OBD-II code P1504,,TCSPL Solenoid Circuit Malfunction
Interpret OBD-II code P1505,,Vehicle Speed Sensor Intermittent
Interpret OBD-II code P1506,,Vehicle Speed Sensor Out Of Self Test Range
Interpret OBD-II code P1507,,Vehicle Speed Sensor Intermittent Malfunction
Interpret OBD-II code P1508,,Auxillary Speed Sensor Fault
Interpret OBD-II code P1509,,Idle Air Control Circuit Malfunction
Interpret OBD-II code P1510,,Idle Air Control System At Adaptive Clip
Interpret OBD-II code P1511,,Idle Air Control Overspeed Error
Interpret OBD-II code P1512,,Idle Air Control Underspeed Error
Interpret OBD-II code P1513,,Idle Control System Circuit Open
Interpret OBD-II code P1514,,Idle Control System Circuit Shorted
Interpret OBD-II code P1515,,Idle Signal Circuit Malfunction
Interpret OBD-II code P1516,,Idle Switch (Electric Control Throttle) Circuit Malfunction
Interpret OBD-II code P1517,,Intake Manifold Runner Control (Bank 1) Stuck Closed
Interpret OBD-II code P1518,,Intake Manifold Runner Control (Bank 2) Stuck Closed
Interpret OBD-II code P1519,,High Load Neutral/Drive Fault
Interpret OBD-II code P1520,,Electric Current Circuit Malfunction
Interpret OBD-II code P1521,,IMRC Input Error (Bank 1)
Interpret OBD-II code P1522,,IMRC Input Error (Bank 2)
Interpret OBD-II code P1523,,Intake Manifold Runner Control (Stuck Open)
Interpret OBD-II code P1524,,Intake Manifold Runner Control (Stuck Closed)
Interpret OBD-II code P1525,,Intake Manifold Runner Control Circuit Malfunction
Interpret OBD-II code P1526,,Variable Intake Solenoid #1 Circuit Malfunction
Interpret OBD-II code P1527,,Variable Intake Solenoid #2 Circuit Malfunction
Interpret OBD-II code P1528,,IVC Solenoid Circuit Malfunction
Interpret OBD-II code P1529,,Variable Intake Solenoid System
Interpret OBD-II code P1530,,Air Bypass Valve System
Interpret OBD-II code P1531,,Air Bypass System
Interpret OBD-II code P1532,,Accelerate Warmup Solenoid Circuit Malfunction
Interpret OBD-II code P1533,,Subsidiary Throttle Valve Solenoid Circuit Malfunction
Interpret OBD-II code P1534,,SCAIR Solenoid Circuit Malfunction
Interpret OBD-II code P1535,,A/C Clutch Circuit Malfunction
Interpret OBD-II code P1536,,Invalid Test - Accelerator Pedal Movement
Interpret OBD-II code P1537,,IMCC Circuit Malfunction
Interpret OBD-II code P1538,,AAI Circuit Malfunction
Interpret OBD-II code P1539,,Inertia Switch Activated
Interpret OBD-II code P1540,,Blower Fan Speed Circuit Range/Performance
Interpret OBD-II code P1549,,Parking Brake Switch Circuit Failure
Interpret OBD-II code P1550,,Intake Manifold Runner Control (Bank 1) Stuck Open
Interpret OBD-II code P1565,,Intake Manifold Runner Control (Bank 2) Stuck Open
Interpret OBD-II code P1566,,Power To A/C Clutch Circuit Overcurrent
Interpret OBD-II code P1567,,Air Bypass Valve Circuit Malfunction
Interpret OBD-II code P1568,,IMCC Circuit Malfunction
Interpret OBD-II code P1571,,PSPS Out Of Self Test Range
Interpret OBD-II code P1572,,Speed Control Command Switch Out of Range High
Interpret OBD-II code P1573,,Speed Control Command Switch Out of Range Low
Interpret OBD-II code P1574,,Speed Control Output Circuit Continuity
Interpret OBD-II code P1575,,Speed Control Unable to Hold Speed
Interpret OBD-II code P1576,,Brake Switch Malfunction
Interpret OBD-II code P1577,,Brake Pedal Switch Circuit Malfunction
Interpret OBD-II code P1578,,Throttle Position Not Available
Interpret OBD-II code P1579,,Throttle Position Sensor Disagreement btwn Sensors
Interpret OBD-II code P1580,,Pedal Position Out of Self Test Range
Interpret OBD-II code P1581,,Pedal Position Not Available
Interpret OBD-II code P1582,,Pedal Position Sensor Disagreement btwn Sensors
Interpret OBD-II code P1583,,ETC Power Less Than Demand
Interpret OBD-II code P1584,,ETC In Power Limiting Mode
Interpret OBD-II code P1585,,Electronic Throttle Monitor PCM Override
Interpret OBD-II code P1586,,Electronic Throttle Monitor Malfunction
Interpret OBD-II code P1587,,Electronic Throttle Monitor Data Available
Interpret OBD-II code P1588,,Electronic Throttle Monitor Cruise Disable
Interpret OBD-II code P1589,,TCU Detected IPE Circuit Malfunction
Interpret OBD-II code P1600,,Throttle Control Unit Malfunction
Interpret OBD-II code P1601,,Throttle Control Unit Throttle Position Malfunction
Interpret OBD-II code P1602,,Throttle Control Unit Modulated Command Malfunction
Interpret OBD-II code P1603,,Throttle Control Unit Detected Loss of Return Spring
Interpret OBD-II code P1604,,TCU Unable To Control Desired Throttle Angle
Interpret OBD-II code P1605,,Loss of KAM Power; Open Circuit
Interpret OBD-II code P1606,,ECM/TCM Serial Communication Error
Interpret OBD-II code P1607,,Immobilizer/ECM Communication Error
Interpret OBD-II code P1608,,EEPROM Malfunction
Interpret OBD-II code P1609,,Code Word Unregestered
Interpret OBD-II code P1610,,Keep Alive Memory Test Failure
Interpret OBD-II code P1611,,ECM Control Relay O/P Circuit Malfunction
Interpret OBD-II code P1612,,MIL O/P Circuit Malfunction
Interpret OBD-II code P1613,,Internal ECM Malfunction
Interpret OBD-II code P1614,,Diagnostic Lamp Driver Fault
Interpret OBD-II code P1615,,SBDS Interactive Codes
Interpret OBD-II code P1616,,SBDS Interactive Codes
Interpret OBD-II code P1617,,SBDS Interactive Codes
Interpret OBD-II code P1618,,SBDS Interactive Codes
Interpret OBD-II code P1619,,SBDS Interactive Codes
Interpret OBD-II code P1620,,SBDS Interactive Codes
Interpret OBD-II code P1621,,SBDS Interactive Codes
Interpret OBD-II code P1622,,SBDS Interactive Codes
Interpret OBD-II code P1623,,SBDS Interactive Codes
Interpret OBD-II code P1624,,SBDS Interactive Codes
Interpret OBD-II code P1625,,SBDS Interactive Codes
Interpret OBD-II code P1626,,Control Module Long Term Memory Performance/ Immobilizer Code Words Do Not Match
Interpret OBD-II code P1627,,Immobilizer ID Does Not Match
Interpret OBD-II code P1628,,Immobilizer Code Word/ID Number Write Failure
Interpret OBD-II code P1629,,Anti Theft System
Interpret OBD-II code P1630,,B+ Supply To VCRM Fan Circuit Malfunction
Interpret OBD-II code P1631,,Theft Deterrent Fuel Enable Signal Not Received/ B+ Supply To VCRM A/C Circuit Malfunction
Interpret OBD-II code P1632,,Module Supply Voltage Out Of Range
Interpret OBD-II code P1633,,Module Ignition Supply Input Malfunction
Interpret OBD-II code P1634,,Internal Voltage Regulator Malfunction
Interpret OBD-II code P1635,,Internal Vref Malfunction
Interpret OBD-II code P1636,,Theft Deterrent Start Enable Signal Not Correct/ Main Relay Malfunction (Power Hold)
Interpret OBD-II code P1637,,Smart Alternator Faults Sensor/Circuit Malfunction
Interpret OBD-II code P1638,,KAM Voltage Too Low
Interpret OBD-II code P1639,,Data Output Link Circuit Failure
Interpret OBD-II code P1640,,Tire / Axle Ratio Out of Acceptable Range
Interpret OBD-II code P1641,,Inductive Signature Chip Communication Error
Interpret OBD-II code P1642,,Can Link ECM/ABSCM Circuit / Network Malfunction
Interpret OBD-II code P1643,,Can Link ECM/INSTM Circuit / Network Malfunction
Interpret OBD-II code P1644,,Vehicle ID Block Corrupted or Not Programmed
Interpret OBD-II code P1645,,Powertrain DTCs Available in Another Module
Interpret OBD-II code P1650,,Fuel Pump Primary Circuit Failure
Interpret OBD-II code P1651,,Fuel Pump Monitor Circuit High Input
Interpret OBD-II code P1652,,Fuel Pump Monitor Circuit Low Input
Interpret OBD-II code P1653,,Fuel Pump Speed Control Circuit Malfunction
Interpret OBD-II code P1654,,Fuel Pump Resistor Switch Circuit Malfunction
Interpret OBD-II code P1655,,PSP Switch Out of Self Test Range
Interpret OBD-II code P1660,,PSP Switch Input Malfunction
Interpret OBD-II code P1661,,IAC Monitor Disabled by PSP Switch Failed On
Interpret OBD-II code P1662,,Power Steering Output Circuit Malfunction
Interpret OBD-II code P1663,,Recirculation Override Circuit Malfunction
Interpret OBD-II code P1667,,Starter Disable Circuit Malfunction
Interpret OBD-II code P1668,,Output Circuit Check Signal High
Interpret OBD-II code P1670,,Output Circuit Check Signal Low
Interpret OBD-II code P1680,,IDM_EN Circuit Failure
Interpret OBD-II code P1681,,Fuel Demand Command Signal Circuit Malfunction
Interpret OBD-II code P1682,,CI Circuit Malfunction
Interpret OBD-II code P1683,,PCM - IDM Communications Error
Interpret OBD-II code P1684,,Electronic Feedback Signal Not Detected
Interpret OBD-II code P1685,,Metering Oil Pump Malfunction
Interpret OBD-II code P1686,,Metering Oil Pump Malfunction
Interpret OBD-II code P1687,,Metering Oil Pump Malfunction
Interpret OBD-II code P1688,,Metering Oil Pump Temperature Sensor Circuit Malfunction
Interpret OBD-II code P1689,,Metering Oil Pump Position Sensor Circuit Malfunction
Interpret OBD-II code P1690,,Metering Oil Pump Stepping Motor Circuit Malfunction
Interpret OBD-II code P1691,,Metering Oil Pump Stepping Motor Circuit Malfunction
Interpret OBD-II code P1692,,Metering Oil Pump Stepping Motor Circuit Malfunction
Interpret OBD-II code P1693,,Metering Oil Pump Stepping Motor Circuit Malfunction
Interpret OBD-II code P1694,,Oil Pressure Control Solenoid Circuit Malfunction
Interpret OBD-II code P1700,,Wastegate Solenoid Circuit Malfunction
Interpret OBD-II code P1701,,Turbo Pressure Control Solenoid Circuit Malfunction
Interpret OBD-II code P1702,,Turbo Control Solenoid Circuit Malfunction
Interpret OBD-II code P1703,,Turbo Charge Control Circuit Malfunction
Interpret OBD-II code P1704,,Turbo Charge Relief Circuit Malfunction
Interpret OBD-II code P1705,,Transmission Indeterminate Failure (Failed to Neutral)
Interpret OBD-II code P1706,,Reverse Engagement Error
Interpret OBD-II code P1707,,TRS Circuit Intermittent Malfunction
Interpret OBD-II code P1708,,Brake Switch Out Of Self Test Range
Interpret OBD-II code P1709,,Digital TRS Failed to Transition States in KOEO / KOER
Interpret OBD-II code P1711,,Not in P or N During KOEO / KOER
Interpret OBD-II code P1712,,High Vehicle Speed Observed in Park
Interpret OBD-II code P1713,,Transfer Case Neutral Indicator Hard Fault Present
Interpret OBD-II code P1714,,Clutch Switch Circuit Malfunction
Interpret OBD-II code P1715,,PNP Switch Out Of Self Test Range
Interpret OBD-II code P1716,,TFT Sensor Out Of Self Test Range
Interpret OBD-II code P1717,,Trans Torque Reduction Request Signal Malfunction
Interpret OBD-II code P1718,,TFT Sensor In Range Failure Low Value
Interpret OBD-II code P1720,,SSA Inductive Signature Malfunction
Interpret OBD-II code P1721,,SSB Inductive Signature Malfunction
Interpret OBD-II code P1722,,SSC Inductive Signature Malfunction
Interpret OBD-II code P1723,,SSD Inductive Signature Malfunction
Interpret OBD-II code P1724,,TFT Sensor In Range Failure High
Interpret OBD-II code P1725,,Vehicle Speed (Meter) Circuit Malfunction
Interpret OBD-II code P1726,,Gear 1 Incorrect Ratio
Interpret OBD-II code P1727,,Gear 2 Incorrect Ratio
Interpret OBD-II code P1728,,Gear 3 incorrect Ratio
Interpret OBD-II code P1729,,Gear 4 Incorrect Ratio
Interpret OBD-II code P1730,,Insufficient Engine Speed Increase During Self Test
Interpret OBD-II code P1731,,Insufficient Engine Speed Decrease During Self Test
Interpret OBD-II code P1732,,Coast Clutch Solenoid Inductive Signature Malfunction
Interpret OBD-II code P1733,,Transmission Slip Error
Interpret OBD-II code P1734,,4x4 Low Switch Error
Interpret OBD-II code P1735,,Gear Control Malfunction 2
Interpret OBD-II code P1736,,1-2 Shift Malfunction
Interpret OBD-II code P1737,,2-3 Shift Malfunction
Interpret OBD-II code P1738,,3-4 Shift Malfunction
Interpret OBD-II code P1739,,Gear Control Malfunction
Interpret OBD-II code P1740,,First Gear Switch Circuit Malfunction
Interpret OBD-II code P1741,,Second Gear Switch Circuit Malfunction
Interpret OBD-II code P1742,,Lockup Solenoid System
Interpret OBD-II code P1743,,Shift Time Error
Interpret OBD-II code P1744,,Slip Solenoid System
Interpret OBD-II code P1745,,Torque Converter Clutch Inductive Signature Malfunction
Interpret OBD-II code P1746,,Torque Converter Clutch Control Error
Interpret OBD-II code P1747,,Torque Converter Clutch Solenoid Failed On
Interpret OBD-II code P1748,,Torque Converter Clutch Solenoid Failied On
Interpret OBD-II code P1749,,Torque Converter Clutch System Performance
Interpret OBD-II code P1751,,Line Pressure Solenoid System
Interpret OBD-II code P1754,,"Pressure Control Solenoid ""A"" Open Circuit"
Interpret OBD-II code P1755,,"Pressure Control Solenoid ""A"" Short Circuit"
Interpret OBD-II code P1756,,EPC Malfunction
Interpret OBD-II code P1760,,Pressure Control Solenoid Failed Low
Interpret OBD-II code P1761,,Shift Solenoid A Performance
Interpret OBD-II code P1762,,Coast Clutch Solenoid Circuit Malfunction
Interpret OBD-II code P1765,,Intermediate Speed Sensor (ISS) Malfunction
Interpret OBD-II code P1767,,Shift Solenoid B Performance
Interpret OBD-II code P1768,,"Pressure Control Solenoid ""A"" Short Circuit"
Interpret OBD-II code P1769,,Shift Solenoid C Performance
Interpret OBD-II code P1770,,Overdrive Band Failed Off
Interpret OBD-II code P1775,,Timing Solenoid Circuit Malfunction
Interpret OBD-II code P1776,,Torque Converter Clutch Circuit Malfunction
Interpret OBD-II code P1777,,Performance / Normal / Winter Mode Input Malfunction
Interpret OBD-II code P1778,,AG4 Transmission Torque Modulation Fault
Interpret OBD-II code P1779,,Clutch Solenoid Circuit Malfunction
Interpret OBD-II code P1780,,Transmission System MIL Fault
Interpret OBD-II code P1781,,Ignition Retard Request Duration Fault
Interpret OBD-II code P1782,,Ignition Retard Request Circuit Fault
Interpret OBD-II code P1783,,Transmission Reverse I/P Circuit Malfunction
Interpret OBD-II code P1784,,TCIL Circuit Malfunction
Interpret OBD-II code P1785,,Trans Control Switch (O/D Cancel) Out of Self Test Range
Interpret OBD-II code P1786,,4X4 Switch Out of Self Test Range
Interpret OBD-II code P1787,,P/ES Circuit Out Of Self Test Range
Interpret OBD-II code P1788,,Transmission Overtemperature Condition
Interpret OBD-II code P1789,,Transmission Mechanical Failure - First And Reverse
Interpret OBD-II code P1790,,Transmission Mechanical Failure - First And Second
Interpret OBD-II code P1791,,3-2 Downshift Error
Interpret OBD-II code P1792,,2-1 Downshift Error
Interpret OBD-II code P1793,,"Pressure Control Solenoid ""B"" Open Circuit"
Interpret OBD-II code P1794,,"Pressure Control Solenoid ""B"" Short Circuit"
Interpret OBD-II code P1795,,TP (Mechanical) Circuit Malfunction
Interpret OBD-II code P1796,,TP (Electric) Circuit Malfunction
Interpret OBD-II code P1797,,Barometer Pressure Circuit Malfunction
Interpret OBD-II code P1798,,Intake Air Volume Circuit Malfunction
Interpret OBD-II code P1799,,Battery Voltage Circuit Malfunction
Interpret OBD-II code P1800,,Idle Switch Circuit Malfunction
Interpret OBD-II code P1801,,Kick Down Switch Circuit Malfunction
Interpret OBD-II code P1802,,Neutral Switch Circuit Malfunction
Interpret OBD-II code P1803,,Coolant Temperature Circuit Malfunction
Interpret OBD-II code P1804,,Hold Switch Circuit Malfunction
Interpret OBD-II code P1805,,Transmission Clutch Interlock Safety Switch Circuit Failure
Interpret OBD-II code P1806,,Transmission Clutch Interlock Safety Switch Open Circuit
Interpret OBD-II code P1807,,Transmission Clutch Interlock Safety Switch Short Circuit To Battery
Interpret OBD-II code P1808,,Transmission Clutch Interlock Safety Switch Short Circuit To Ground
Interpret OBD-II code P1809,,Transmission 4-Wheel Drive High Indicator Circuit Failure
Interpret OBD-II code P1810,,Transmission 4-Wheel Drive High Indicator Open Circuit
Interpret OBD-II code P1811,,Transmission 4-Wheel Drive High Indicator Short Circuit To Battery
Interpret OBD-II code P1812,,Transmission 4-Wheel Drive High Indicator Short Circuit To Ground
Interpret OBD-II code P1813,,Transmission 4-Wheel Drive Low Indicator Circuit Failure
Interpret OBD-II code P1814,,Transmission 4-Wheel Drive Low Indicator Open Circuit
Interpret OBD-II code P1815,,TFP Valve Position Switch Circuit/ Transmission 4-Wheel Drive Low Indicator Short Circuit To Battery
Interpret OBD-II code P1816,,Transmission 4-Wheel Drive Low Indicator Short Circuit To Ground
Interpret OBD-II code P1817,,Transmission 4-Wheel Drive Mode Select Circuit Failure
Interpret OBD-II code P1818,,Transmission 4-Wheel Drive Mode Select Open Circuit
Interpret OBD-II code P1819,,Transmission 4-Wheel Drive Mode Select Short Circuit To Battery
Interpret OBD-II code P1820,,Transmission 4-Wheel Drive Mode Select Short Circuit To Ground
Interpret OBD-II code P1821,,Transmission Neutral Safety Switch Circuit Failure
Interpret OBD-II code P1822,,Transmission Neutral Safety Switch Open Circuit
Interpret OBD-II code P1823,,Transmission Neutral Safety Switch Short Circuit To Battery
Interpret OBD-II code P1824,,Transmission Neutral Safety Switch Short Circuit To Ground
Interpret OBD-II code P1825,,Transmission Transfer Case Clockwise Shift Relay Coil Circuit Failure
Interpret OBD-II code P1826,,Transmission Transfer Case Clockwise Shift Relay Coil Open Circuit
Interpret OBD-II code P1827,,Transmission Transfer Case Clockwise Shift Relay Coil Short Circuit To Battery
Interpret OBD-II code P1828,,Transmission Transfer Case Clockwise Shift Relay Coil Short Circuit To Ground
Interpret OBD-II code P1829,,Transmission 4-Wheel Drive Clutch Relay Circuit Failure
Interpret OBD-II code P1830,,Transmission 4-Wheel Drive Clutch Relay Open Circuit
Interpret OBD-II code P1831,,Transmission 4-Wheel Drive Low Clutch Relay Circuit To Battery
Interpret OBD-II code P1832,,Transmission 4-Wheel Drive Low Clutch Relay Circuit To Ground
Interpret OBD-II code P1833,,Transmission Transfer Case Counter Clockwise Shift Relay Coil Circuit Failure
Interpret OBD-II code P1834,,Transmission Transfer Case Counter Clockwise Shift Relay Coil Open Circuit
Interpret OBD-II code P1835,,Transmission Transfer Case Counter Clockwise Shift Relay Coil Short Circuit To Battery
Interpret OBD-II code P1836,,Transmission Transfer Case Counter Clockwise Shift Relay Coil Short Circuit To Ground
Interpret OBD-II code P1837,,Transmission Transfer Case Differential Lock-Up Solenoid Circuit Failure
Interpret OBD-II code P1838,,Transmission Transfer Case Differential Lock-Up Solenoid Open Circuit
Interpret OBD-II code P1839,,Transmission Transfer Case Differential Lock-Up Solenoid Short Circuit To Battery
Interpret OBD-II code P1840,,Transmission Transfer Case Differential Lock-Up Solenoid Short Circuit To Ground
Interpret OBD-II code P1841,,Transmission Transfer Case Front Shaft Speed Sensor Circuit Failure
Interpret OBD-II code P1842,,Transmission Transfer Case Rear Shaft Speed Sensor Circuit Failure
Interpret OBD-II code P1843,,Transmission Transfer Case Shift Motor Circuit Failure
Interpret OBD-II code P1844,,Transmission Transfer Case Shift Motor Open Circuit
Interpret OBD-II code P1845,,Transmission Transfer Case Shift Motor Short Circuit To Battery
Interpret OBD-II code P1846,,Transmission Transfer Case Shift Motor Short Circuit To Ground
Interpret OBD-II code P1847,,Transmission Transfer Case Differential Lock-Up Feedback Switch Circuit Failure
Interpret OBD-II code P1848,,Transmission Transfer Case Differential Lock-Up Feedback Switch Open Circuit
Interpret OBD-II code P1849,,Transmission Transfer Case Differential Lock-Up Feedback Switch Short Circuit To Battery
Interpret OBD-II code P1850,,Transmission Transfer Case Differential Lock-Up Feedback Switch Short Circuit To Ground
Interpret OBD-II code P1867,,Transmission Transfer Case Contact Plate Power Circuit Failure
Interpret OBD-II code P1868,,Transmission Transfer Case Contact Plate Power Open Circuit
Interpret OBD-II code P1869,,Transmission Transfer Case Contact Plate Power Short To Battery
Interpret OBD-II code P1870,,Transmission Transfer Case Contact Plate Power Short To Ground
Interpret OBD-II code P1871,,Transmission Transfer Case System Concern - Servicing Required
Interpret OBD-II code P1872,,Transmission Transfer Case Contact Plate General Circuit Failure
Interpret OBD-II code P1873,,Transmission Automatic 4-Wheel Drive Indicator (Lamp) Circuit Failure
Interpret OBD-II code P1874,,Transmission Automatic 4-Wheel Drive Indicator (Lamp) Circuit Short To Battery
Interpret OBD-II code P1875,,Transmission Component Slipping/ Transmission Mechanical Transfer Case 4x4 Switch Circuit Failure
Interpret OBD-II code P1876,,Transmission Mechanical Transfer Case 4x4 Switch Circuit Short To Battery
Interpret OBD-II code P1877,,Transmission Mechanical 4-Wheel Drive Axle Lock Lamp Circuit Failure
